run_accession	fastq_ftp_1	fastq_ftp_2	read_count	low_depth_flag
ERR6275661	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6275661/ERR6275661_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6275661/ERR6275661_2.fastq.gz	158129912	ok
ERR6275663	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/003/ERR6275663/ERR6275663_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/003/ERR6275663/ERR6275663_2.fastq.gz	63827948	ok
ERR6275665	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6275665/ERR6275665_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6275665/ERR6275665_2.fastq.gz	44465958	ok
ERR6275667	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6275667/ERR6275667_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6275667/ERR6275667_2.fastq.gz	36103878	ok
ERR6275672	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/002/ERR6275672/ERR6275672_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/002/ERR6275672/ERR6275672_2.fastq.gz	31483490	ok
ERR6275676	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/006/ERR6275676/ERR6275676_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/006/ERR6275676/ERR6275676_2.fastq.gz	30306216	ok
ERR6275677	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6275677/ERR6275677_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6275677/ERR6275677_2.fastq.gz	67816626	ok
ERR6275679	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6275679/ERR6275679_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6275679/ERR6275679_2.fastq.gz	30700510	ok
ERR6275681	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6275681/ERR6275681_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6275681/ERR6275681_2.fastq.gz	8758768	ok
ERR6279614	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/004/ERR6279614/ERR6279614_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/004/ERR6279614/ERR6279614_2.fastq.gz	30357534	ok
ERR6279624	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/004/ERR6279624/ERR6279624_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/004/ERR6279624/ERR6279624_2.fastq.gz	81361152	ok
ERR6279625	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6279625/ERR6279625_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6279625/ERR6279625_2.fastq.gz	47137530	ok
ERR6279627	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6279627/ERR6279627_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6279627/ERR6279627_2.fastq.gz	25039082	ok
ERR6279628	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279628/ERR6279628_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279628/ERR6279628_2.fastq.gz	62819044	ok
ERR6279653	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/003/ERR6279653/ERR6279653_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/003/ERR6279653/ERR6279653_2.fastq.gz	42394444	ok
ERR6279654	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/004/ERR6279654/ERR6279654_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/004/ERR6279654/ERR6279654_2.fastq.gz	62348554	ok
ERR6279667	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6279667/ERR6279667_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6279667/ERR6279667_2.fastq.gz	63670352	ok
ERR6279668	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279668/ERR6279668_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279668/ERR6279668_2.fastq.gz	16127264	ok
ERR6279676	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/006/ERR6279676/ERR6279676_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/006/ERR6279676/ERR6279676_2.fastq.gz	78626534	ok
ERR6279680	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/000/ERR6279680/ERR6279680_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/000/ERR6279680/ERR6279680_2.fastq.gz	33942396	ok
ERR6279681	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6279681/ERR6279681_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6279681/ERR6279681_2.fastq.gz	117677586	ok
ERR6279682	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/002/ERR6279682/ERR6279682_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/002/ERR6279682/ERR6279682_2.fastq.gz	32391684	ok
ERR6280899	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/009/ERR6280899/ERR6280899_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/009/ERR6280899/ERR6280899_2.fastq.gz	152858590	ok
ERR6280948	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/008/ERR6280948/ERR6280948_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/008/ERR6280948/ERR6280948_2.fastq.gz	17141208	ok
ERR6281340	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/000/ERR6281340/ERR6281340_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/000/ERR6281340/ERR6281340_2.fastq.gz	60450090	ok
ERR6281342	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/002/ERR6281342/ERR6281342_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/002/ERR6281342/ERR6281342_2.fastq.gz	41527900	ok
ERR6281344	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/004/ERR6281344/ERR6281344_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/004/ERR6281344/ERR6281344_2.fastq.gz	57400004	ok
ERR6281431	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6281431/ERR6281431_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6281431/ERR6281431_2.fastq.gz	31328138	ok
ERR6281433	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/003/ERR6281433/ERR6281433_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/003/ERR6281433/ERR6281433_2.fastq.gz	33561178	ok
ERR6281434	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/004/ERR6281434/ERR6281434_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/004/ERR6281434/ERR6281434_2.fastq.gz	153683004	ok
ERR6281448	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/008/ERR6281448/ERR6281448_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/008/ERR6281448/ERR6281448_2.fastq.gz	74200752	ok
ERR6281500	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/000/ERR6281500/ERR6281500_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/000/ERR6281500/ERR6281500_2.fastq.gz	83230036	ok
ERR6281505	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/005/ERR6281505/ERR6281505_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/005/ERR6281505/ERR6281505_2.fastq.gz	25933944	ok
ERR6281677	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/007/ERR6281677/ERR6281677_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/007/ERR6281677/ERR6281677_2.fastq.gz	18000756	ok
ERR6281939	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/009/ERR6281939/ERR6281939_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/009/ERR6281939/ERR6281939_2.fastq.gz	17604646	ok
ERR6281942	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/002/ERR6281942/ERR6281942_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/002/ERR6281942/ERR6281942_2.fastq.gz	118095268	ok
ERR6281944	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/004/ERR6281944/ERR6281944_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/004/ERR6281944/ERR6281944_2.fastq.gz	39426364	ok
